Airline,Departure_Airport,Arrival_Airport,Scheduled_Dep_Hour,Scheduled_Arr_Hour,Day_of_Week,Month,Holiday_Season,Weather_Condition,Temperature,Wind_Speed,Visibility,Rain_mm,Departure_Traffic,Arrival_Traffic,Delay
GoAir,CCU,CCU,21,9,1,10,1,Clear,14,17,4,6,Medium,Medium,52.51
GoAir,HYD,HYD,16,4,1,2,0,Clear,29,5,5,15,Medium,High,36.77
SpiceJet,HYD,BLR,17,13,0,7,1,Thunderstorm,38,9,2,3,Low,Medium,85.54
Vistara,DEL,DEL,16,20,3,9,1,Clear,30,13,4,15,Low,Low,46.64
GoAir,MAA,CCU,8,12,6,6,1,Storm,18,20,7,16,Low,Medium,67.45
Vistara,HYD,HYD,9,5,6,10,0,Storm,37,25,3,1,Low,High,81.68
SpiceJet,DEL,HYD,9,11,4,2,1,Thunderstorm,38,28,1,15,Low,Low,135.66
SpiceJet,GOI,BLR,6,7,0,12,0,Rain,32,7,8,3,High,Low,36.71
Vistara,GOI,HYD,15,4,1,10,0,Storm,17,26,8,6,Low,Medium,52.74
Air India,HYD,BLR,17,14,1,10,1,Fog,29,2,6,17,Low,High,82.38
IndiGo,MAA,GOI,5,15,0,9,0,Storm,36,21,7,5,High,Medium,59.87
Air India,CCU,BOM,19,0,3,7,1,Fog,17,21,2,17,Medium,High,77.77
Air India,BLR,CCU,0,15,4,11,1,Thunderstorm,31,25,5,6,High,High,75.17
Air India,MAA,MAA,0,4,2,1,0,Rain,30,18,7,1,Medium,Medium,21.9
GoAir,BOM,BOM,11,2,0,12,0,Fog,38,11,9,18,Medium,High,63.79
SpiceJet,GOI,CCU,20,19,4,9,1,Fog,37,11,1,8,High,Medium,75.41
Air India,HYD,BLR,1,14,6,2,1,Storm,32,14,3,3,Low,High,57.15
SpiceJet,HYD,CCU,3,12,4,4,1,Fog,15,27,6,13,Medium,Low,65.27
Vistara,CCU,GOI,16,23,5,9,1,Thunderstorm,12,6,7,4,Low,Medium,75.23
IndiGo,BOM,BLR,3,15,1,4,0,Thunderstorm,14,26,6,6,High,High,56.28
Vistara,CCU,BOM,10,22,2,3,0,Thunderstorm,18,3,1,7,Medium,Low,58.75
Vistara,BOM,DEL,21,10,0,1,0,Storm,16,20,4,14,Low,Low,41.22
GoAir,BLR,DEL,3,20,1,7,1,Rain,37,8,6,18,Medium,Low,18.93
IndiGo,GOI,CCU,0,1,5,6,0,Storm,13,21,8,10,Medium,Low,70.14
Vistara,HYD,DEL,6,21,5,10,0,Thunderstorm,16,15,4,19,High,Medium,73.13
Vistara,HYD,BLR,17,5,1,4,0,Storm,14,25,7,3,Low,High,49.93
IndiGo,BLR,HYD,8,5,3,6,0,Thunderstorm,20,12,3,17,Low,Low,54.59
IndiGo,DEL,BLR,2,13,4,6,1,Clear,38,3,8,13,Medium,High,37.71
Vistara,GOI,HYD,7,10,0,4,0,Clear,24,23,1,5,Low,High,43.86
IndiGo,CCU,BOM,23,7,0,6,0,Fog,11,8,4,15,Medium,High,91.37
Vistara,BLR,MAA,18,7,0,10,0,Rain,22,25,8,17,High,Medium,55.85
Vistara,CCU,HYD,3,0,1,11,0,Clear,31,20,4,0,High,Medium,13.44
GoAir,MAA,DEL,17,20,6,8,1,Thunderstorm,25,17,2,7,Low,Low,81.82
Air India,HYD,BLR,19,6,3,3,1,Storm,16,14,2,0,High,High,33.7
Vistara,CCU,BOM,10,5,2,4,0,Storm,17,14,4,0,High,Medium,54.15
SpiceJet,BOM,DEL,13,20,5,10,1,Fog,15,5,4,18,Low,Medium,92.4
Air India,CCU,BOM,17,7,1,12,1,Storm,33,10,2,9,Medium,Medium,66.58
Air India,MAA,MAA,15,18,6,1,1,Clear,16,27,7,17,High,Low,55.56
Air India,GOI,GOI,2,21,2,4,1,Storm,27,7,6,11,Low,Medium,68.89
GoAir,HYD,BLR,14,20,5,11,0,Clear,39,28,3,16,Low,High,35.13
Vistara,BLR,CCU,3,23,5,10,1,Clear,31,20,8,0,Low,Medium,41.15
GoAir,MAA,BLR,4,19,3,10,1,Rain,34,16,8,7,High,Medium,78.05
Vistara,HYD,MAA,16,7,4,12,0,Fog,37,23,1,9,High,Low,103.14
GoAir,CCU,BLR,6,13,0,9,0,Thunderstorm,31,24,3,9,Medium,High,96.85
GoAir,GOI,CCU,15,17,2,8,0,Clear,29,16,5,17,Medium,Medium,14.97
SpiceJet,DEL,HYD,13,15,1,11,0,Fog,16,23,2,8,Medium,High,92.55
GoAir,GOI,BOM,15,8,2,4,1,Thunderstorm,12,25,5,1,Medium,High,114.66
IndiGo,DEL,CCU,6,14,4,12,0,Storm,14,27,3,2,Medium,Medium,52.11
SpiceJet,BOM,DEL,8,9,0,7,1,Fog,10,17,9,1,Medium,Low,91.27
GoAir,GOI,MAA,3,21,2,10,1,Fog,24,3,1,5,Low,High,96.95
Air India,HYD,HYD,21,15,4,3,0,Fog,35,28,4,11,Medium,Medium,50.66
IndiGo,DEL,DEL,10,3,1,9,0,Storm,12,14,6,18,High,High,69.84
IndiGo,BLR,DEL,1,19,3,10,1,Storm,17,1,9,14,Medium,High,79.48
IndiGo,HYD,MAA,11,12,6,4,1,Fog,34,1,3,18,High,High,109.61
SpiceJet,BLR,HYD,11,21,5,2,0,Rain,18,9,3,11,Medium,Medium,23.05
GoAir,GOI,GOI,3,4,1,10,0,Clear,24,2,5,17,Low,High,34.75
GoAir,BLR,DEL,17,21,0,5,0,Storm,19,29,7,15,Low,High,92.74
Air India,DEL,DEL,20,6,5,2,1,Rain,11,7,5,1,High,Low,32.77
Air India,HYD,HYD,6,22,6,10,1,Storm,29,19,8,10,Medium,Medium,112.92
IndiGo,CCU,BLR,0,8,1,6,0,Fog,14,6,5,11,Low,Medium,52.85
Air India,MAA,DEL,22,7,1,11,1,Rain,28,11,7,4,Low,High,56.09
SpiceJet,DEL,BOM,12,15,1,10,0,Thunderstorm,22,25,6,5,Medium,Low,54.23
GoAir,DEL,HYD,5,5,1,1,1,Clear,20,18,2,10,High,High,99.72
IndiGo,CCU,DEL,5,15,5,6,1,Clear,10,25,3,9,High,High,49.9
Air India,HYD,MAA,11,5,0,4,0,Storm,31,27,4,3,High,Medium,55.58
SpiceJet,HYD,CCU,7,13,6,3,0,Clear,39,29,5,8,Low,Low,12.35
SpiceJet,GOI,BOM,23,20,4,2,0,Thunderstorm,24,14,9,11,Medium,High,82.03
Air India,BLR,CCU,21,0,2,7,1,Rain,35,13,6,9,Low,Medium,51.0
GoAir,GOI,CCU,18,8,3,9,1,Rain,27,15,1,13,Low,High,56.22
Air India,CCU,DEL,4,23,6,12,0,Fog,25,28,3,4,Low,High,71.29
IndiGo,GOI,BOM,17,12,2,3,1,Rain,18,26,7,0,Low,Low,22.48
Air India,CCU,BOM,4,18,2,6,0,Storm,10,13,8,4,Medium,Low,44.14
SpiceJet,HYD,BLR,9,16,3,9,1,Thunderstorm,20,2,7,15,Low,Low,95.25
Air India,BLR,CCU,0,10,6,2,0,Fog,18,17,5,4,Low,High,79.26
GoAir,GOI,BOM,9,7,5,7,1,Storm,32,28,8,4,High,Low,88.53
Vistara,DEL,BLR,4,22,0,5,1,Storm,20,27,9,17,Low,Medium,96.9
Air India,BOM,HYD,11,4,3,5,1,Storm,22,21,7,5,Medium,High,64.35
GoAir,MAA,BLR,21,9,0,11,1,Clear,35,5,9,17,Low,Low,41.12
GoAir,DEL,MAA,6,6,5,7,0,Storm,11,16,1,9,Medium,High,89.68
SpiceJet,HYD,GOI,8,9,2,9,1,Clear,23,22,9,14,Medium,High,55.51
GoAir,MAA,DEL,21,3,0,4,0,Rain,15,27,3,10,Medium,Medium,31.52
GoAir,BOM,HYD,20,8,5,9,0,Clear,17,13,6,18,High,Medium,42.63
GoAir,BOM,GOI,11,13,5,11,0,Storm,27,13,8,12,High,Medium,69.25
GoAir,BLR,GOI,22,1,4,10,0,Thunderstorm,25,19,3,19,Low,High,89.97
IndiGo,MAA,HYD,0,8,3,9,1,Thunderstorm,30,12,4,2,Low,High,99.65
IndiGo,BLR,MAA,10,20,4,4,0,Rain,38,26,7,15,Low,Medium,20.0
SpiceJet,DEL,BLR,20,0,2,3,1,Storm,21,27,7,6,Medium,High,123.94
Air India,CCU,DEL,14,22,3,2,1,Clear,20,2,4,11,Medium,Medium,54.14
GoAir,CCU,BLR,1,9,2,9,1,Thunderstorm,15,12,9,14,Medium,Medium,94.62
Air India,CCU,BOM,19,9,4,12,1,Fog,12,28,3,7,Low,Low,89.59
Air India,MAA,BLR,6,19,6,2,0,Storm,23,23,8,16,Low,Medium,61.64
SpiceJet,CCU,HYD,20,21,5,6,1,Storm,37,1,8,0,Low,Low,83.01
GoAir,DEL,DEL,11,2,2,5,0,Fog,11,8,4,7,Low,Medium,80.46
GoAir,BLR,BLR,21,5,3,5,1,Thunderstorm,20,12,7,13,High,High,121.59
Vistara,MAA,DEL,17,5,3,4,1,Fog,31,7,4,9,High,Low,74.21
Air India,BLR,DEL,2,20,2,6,0,Rain,12,15,1,18,High,High,39.31
Air India,MAA,BOM,6,1,3,5,1,Clear,27,23,1,7,Low,High,76.77
IndiGo,BLR,BOM,10,17,5,11,1,Clear,10,28,1,18,High,Medium,45.79
Vistara,BOM,HYD,17,22,6,4,1,Thunderstorm,39,2,2,3,High,Medium,69.8
IndiGo,BLR,MAA,11,1,5,9,1,Fog,33,12,6,9,Low,High,103.96
IndiGo,CCU,GOI,5,11,3,6,1,Storm,10,3,5,2,High,Medium,78.81
IndiGo,BOM,DEL,4,21,2,11,0,Storm,21,17,2,3,Low,Medium,42.0
SpiceJet,BLR,MAA,0,4,4,10,1,Storm,24,1,8,15,Low,Medium,100.22
SpiceJet,MAA,GOI,11,19,3,10,1,Rain,14,19,9,3,Low,High,52.74
IndiGo,MAA,GOI,10,6,3,10,0,Rain,36,21,7,19,Medium,Low,17.49
Vistara,MAA,HYD,3,23,3,3,1,Storm,15,20,9,19,Low,Low,130.6
Air India,HYD,GOI,17,15,3,10,0,Thunderstorm,25,14,4,12,High,High,104.12
Vistara,DEL,GOI,3,19,2,6,1,Rain,36,16,7,16,High,Medium,78.15
GoAir,MAA,DEL,16,0,4,1,1,Rain,21,28,5,15,Low,Medium,35.88
SpiceJet,BOM,DEL,1,0,4,5,0,Clear,21,9,5,16,Medium,Low,37.46
Air India,MAA,CCU,23,16,0,10,1,Clear,12,0,3,5,Medium,High,38.46
Air India,HYD,MAA,21,0,3,6,1,Thunderstorm,39,5,9,2,Medium,High,91.76
GoAir,CCU,BLR,1,20,3,11,0,Rain,32,2,5,19,High,Medium,30.25
GoAir,BOM,BOM,11,19,0,8,0,Rain,11,18,6,3,Medium,Medium,8.92
IndiGo,HYD,BLR,5,12,4,11,1,Fog,16,6,3,7,Medium,Medium,66.17
SpiceJet,CCU,MAA,9,8,1,9,0,Thunderstorm,11,12,7,19,Low,High,84.44
SpiceJet,GOI,BOM,22,14,5,11,1,Thunderstorm,30,12,9,8,Medium,Low,90.78
Vistara,GOI,BLR,20,2,1,3,0,Fog,16,16,9,0,Medium,High,54.07
IndiGo,BOM,CCU,22,13,4,2,1,Fog,20,0,5,12,Medium,High,113.35
IndiGo,BLR,BOM,15,22,6,4,0,Clear,20,13,7,1,Low,High,21.34
IndiGo,DEL,DEL,13,10,3,8,0,Thunderstorm,23,28,3,9,Low,Low,30.34
IndiGo,DEL,BLR,6,23,1,11,0,Thunderstorm,12,25,6,18,Medium,Medium,32.49
SpiceJet,HYD,BOM,18,21,2,8,0,Fog,23,2,8,16,High,Medium,71.83
SpiceJet,CCU,CCU,22,11,2,3,0,Storm,20,13,8,12,High,High,43.69
IndiGo,DEL,GOI,16,12,0,4,0,Storm,13,23,2,13,Low,High,81.63
Vistara,CCU,BOM,8,12,4,3,0,Clear,26,0,6,10,Medium,Low,24.77
Air India,CCU,BOM,12,0,4,10,0,Storm,25,15,7,9,High,Low,65.39
Air India,HYD,CCU,21,23,1,2,0,Storm,12,9,7,6,Medium,Medium,34.52
Vistara,HYD,GOI,4,9,3,4,1,Storm,34,12,3,9,Low,High,89.47
IndiGo,HYD,BLR,22,2,4,6,0,Rain,19,3,9,0,High,Low,26.72
SpiceJet,DEL,HYD,4,23,1,11,1,Clear,30,8,2,13,Low,Low,47.13
Air India,GOI,BLR,9,3,1,11,0,Fog,24,13,3,2,Medium,High,74.64
GoAir,HYD,GOI,20,15,5,5,1,Storm,17,3,2,12,Low,High,87.39
GoAir,DEL,MAA,9,7,5,3,1,Rain,27,9,9,1,Low,High,36.52
Vistara,HYD,CCU,6,15,4,2,0,Storm,12,7,4,16,Low,High,91.91
IndiGo,MAA,BLR,14,16,1,9,0,Rain,16,22,2,2,Low,High,26.45
Air India,CCU,BOM,6,18,0,1,1,Clear,39,2,3,14,High,High,64.37
IndiGo,HYD,CCU,14,21,0,9,1,Storm,19,22,4,7,Medium,Low,84.7
Air India,BOM,DEL,2,14,5,1,0,Rain,29,6,6,5,High,High,34.68
Vistara,CCU,GOI,18,15,4,7,0,Thunderstorm,18,9,5,8,Medium,Medium,72.4
Vistara,CCU,BLR,9,14,3,6,0,Thunderstorm,23,2,3,10,Medium,High,62.97
GoAir,HYD,CCU,14,1,6,7,1,Rain,32,1,8,1,Medium,Medium,32.6
IndiGo,GOI,BLR,2,10,0,3,0,Storm,23,14,8,8,Medium,Medium,41.9
GoAir,BLR,CCU,5,0,0,3,0,Storm,20,8,7,17,Medium,Medium,101.29
IndiGo,GOI,BOM,11,14,5,11,0,Clear,37,14,3,18,High,High,27.95
GoAir,HYD,DEL,14,18,5,1,0,Clear,10,16,1,17,Medium,High,44.1
SpiceJet,CCU,DEL,5,3,4,4,0,Fog,13,29,5,4,Low,Medium,26.07
SpiceJet,BOM,MAA,12,10,5,12,1,Clear,35,6,1,17,High,High,55.65
SpiceJet,CCU,CCU,18,4,2,2,1,Storm,36,19,6,11,High,Low,88.62
SpiceJet,GOI,BLR,2,2,6,10,0,Fog,15,17,7,3,Medium,Low,69.94
Air India,BOM,DEL,7,12,1,8,0,Clear,31,14,5,14,Low,Low,17.7
SpiceJet,DEL,GOI,7,9,0,3,1,Rain,35,17,4,10,Low,Low,51.08
Vistara,MAA,DEL,22,10,2,7,0,Thunderstorm,31,23,2,18,Medium,High,73.8
Vistara,CCU,HYD,19,17,3,7,1,Clear,14,22,5,4,Medium,Medium,18.47
Air India,HYD,HYD,14,1,2,12,0,Clear,12,11,9,5,Low,High,47.47
SpiceJet,DEL,DEL,3,6,4,9,1,Rain,11,22,4,12,High,Low,54.25
SpiceJet,MAA,CCU,18,8,3,6,1,Storm,12,20,2,9,High,High,68.79
SpiceJet,HYD,MAA,20,9,3,1,0,Rain,18,29,6,13,Medium,High,29.0
GoAir,BLR,DEL,2,17,5,8,1,Clear,28,25,8,3,High,Low,45.68
IndiGo,HYD,BOM,12,22,2,1,0,Storm,28,7,2,19,High,Medium,73.23
GoAir,BOM,BLR,7,6,4,3,1,Fog,26,29,9,11,Low,High,101.29
IndiGo,BOM,MAA,22,6,0,11,0,Clear,27,1,7,14,High,High,22.87
SpiceJet,BLR,BOM,15,2,6,5,0,Rain,20,1,2,9,Low,Low,4.58
SpiceJet,DEL,MAA,12,11,5,8,0,Fog,21,4,5,10,Medium,Medium,60.4
GoAir,MAA,BOM,2,6,2,9,1,Thunderstorm,12,0,5,8,Medium,Low,56.16
GoAir,HYD,BLR,15,16,0,7,0,Fog,27,21,7,10,Low,Low,82.26
IndiGo,BOM,BLR,8,0,2,9,0,Rain,33,3,5,1,Low,High,36.33
Vistara,DEL,HYD,13,4,5,11,0,Fog,15,5,6,12,Medium,Medium,60.86
IndiGo,BLR,CCU,12,15,0,3,1,Rain,16,22,9,7,Low,Low,25.78
GoAir,GOI,BOM,20,14,5,5,0,Clear,10,12,3,7,Medium,High,20.29
GoAir,CCU,HYD,6,1,2,10,1,Storm,15,18,3,0,Medium,Low,54.4
Air India,GOI,BOM,14,8,3,8,1,Thunderstorm,27,10,8,5,Medium,High,79.33
GoAir,GOI,HYD,6,6,6,12,1,Storm,22,12,6,12,Medium,Medium,84.57
Air India,BOM,BLR,5,3,1,1,0,Storm,31,7,3,8,Medium,Low,50.56
Vistara,BLR,MAA,1,19,6,8,0,Storm,28,6,2,5,Medium,Medium,69.99
IndiGo,HYD,GOI,8,17,3,7,1,Rain,16,12,2,14,High,Medium,45.36
IndiGo,GOI,HYD,21,20,5,1,0,Rain,28,0,2,15,High,High,37.12
Air India,GOI,BOM,23,3,6,10,0,Thunderstorm,18,5,5,3,Medium,Low,60.84
IndiGo,MAA,BOM,16,12,5,12,1,Rain,12,6,5,16,High,Low,67.5
GoAir,BOM,GOI,4,0,5,10,1,Rain,32,15,1,8,Low,High,58.33
SpiceJet,BOM,CCU,11,23,0,12,0,Rain,21,29,2,11,Low,High,30.9
Air India,HYD,BLR,0,2,4,6,1,Rain,29,26,2,18,Medium,Medium,39.33
IndiGo,CCU,BOM,9,15,5,1,0,Clear,33,14,4,19,High,Low,41.25
Air India,DEL,DEL,10,21,6,2,1,Thunderstorm,39,19,7,11,Low,Low,72.87
Air India,MAA,MAA,15,3,6,5,0,Rain,27,29,3,5,Low,High,44.51
SpiceJet,BOM,HYD,13,22,6,2,0,Thunderstorm,17,1,5,11,Low,High,72.35
GoAir,MAA,CCU,7,15,3,10,1,Fog,18,25,9,8,Low,High,109.6
Air India,BOM,GOI,23,18,1,1,0,Clear,22,24,5,19,High,Low,18.99
IndiGo,MAA,MAA,16,0,5,6,0,Rain,17,22,9,4,Low,Low,6.57
Vistara,BLR,BLR,17,4,5,8,1,Clear,31,15,1,2,Low,Medium,37.65
Air India,GOI,CCU,11,18,5,8,0,Clear,19,16,9,1,Low,High,19.36
Air India,BOM,HYD,16,21,0,8,0,Fog,26,23,5,7,Medium,Medium,47.64
SpiceJet,MAA,HYD,13,23,5,11,0,Thunderstorm,16,14,8,9,Low,Low,64.87
GoAir,DEL,GOI,15,10,3,6,1,Clear,26,2,5,14,Low,Medium,35.79
Vistara,BLR,DEL,13,12,2,11,1,Storm,32,3,6,8,High,Medium,85.74
IndiGo,BLR,GOI,8,19,4,3,1,Fog,39,11,8,9,Low,Medium,68.2
Vistara,DEL,BLR,3,4,6,1,1,Storm,27,4,2,10,Low,High,109.49
IndiGo,MAA,CCU,22,20,5,2,1,Fog,33,16,3,8,Low,Low,79.36
GoAir,HYD,CCU,10,3,0,5,0,Storm,11,5,9,13,Medium,High,80.14
IndiGo,DEL,BOM,5,3,3,10,0,Storm,12,9,5,4,High,Medium,78.47
SpiceJet,MAA,DEL,14,3,5,5,0,Clear,38,21,5,8,High,High,47.31
SpiceJet,DEL,DEL,4,3,0,10,1,Clear,37,17,9,3,Medium,Low,38.05
SpiceJet,DEL,CCU,10,19,2,1,0,Fog,28,26,3,1,Medium,Low,56.84
SpiceJet,BOM,CCU,17,20,1,1,1,Thunderstorm,10,9,4,18,High,Medium,76.42
Vistara,MAA,MAA,12,17,5,9,0,Clear,30,5,7,0,Low,Medium,3.83
GoAir,HYD,MAA,10,17,3,2,1,Clear,30,23,2,0,High,High,29.42
IndiGo,GOI,MAA,13,15,0,7,0,Rain,19,5,8,11,Medium,Low,15.67
IndiGo,BOM,DEL,17,8,0,10,0,Clear,30,19,5,10,Low,Low,26.37
SpiceJet,DEL,BOM,18,17,5,4,1,Thunderstorm,23,14,1,0,High,High,65.44
SpiceJet,GOI,HYD,23,21,0,7,0,Rain,22,3,3,13,Low,Low,28.4
Air India,CCU,MAA,14,1,1,8,0,Storm,18,24,9,10,Low,Medium,68.97
GoAir,GOI,BOM,8,20,0,5,1,Storm,15,15,5,6,Medium,Medium,92.7
Vistara,DEL,GOI,7,3,6,12,0,Rain,15,21,8,1,High,High,32.56
IndiGo,DEL,BLR,19,11,4,12,0,Rain,28,23,1,14,Medium,High,12.62
Air India,MAA,MAA,0,6,6,1,1,Rain,30,7,7,7,High,High,57.46
Air India,MAA,GOI,3,14,4,4,1,Fog,19,6,7,19,High,Medium,110.88
IndiGo,BOM,HYD,13,6,0,10,1,Thunderstorm,32,18,8,14,Low,High,77.01
Vistara,HYD,BLR,1,21,5,3,1,Thunderstorm,12,25,3,7,Low,Low,96.0
Air India,BOM,BLR,15,20,4,10,1,Storm,27,16,1,9,Low,High,113.25
Air India,BLR,HYD,2,16,3,12,0,Storm,30,20,9,18,Medium,Low,82.02
GoAir,DEL,MAA,7,15,4,5,1,Storm,28,12,1,2,Low,Medium,67.68
Vistara,GOI,DEL,5,18,6,10,1,Clear,14,14,6,19,Medium,Low,36.31
Air India,CCU,HYD,15,8,0,10,0,Storm,34,25,9,13,Low,Low,87.35
Vistara,DEL,HYD,23,13,5,6,0,Rain,20,25,2,8,Medium,Low,29.0
IndiGo,DEL,HYD,15,16,2,2,0,Storm,19,1,4,8,High,Medium,83.01
SpiceJet,BOM,BLR,6,4,5,7,0,Rain,26,27,2,5,Medium,Low,0.0
Air India,CCU,BOM,12,1,5,3,0,Fog,13,9,4,7,Medium,Low,69.81
GoAir,CCU,GOI,12,19,5,1,1,Clear,35,12,2,10,Medium,High,70.44
IndiGo,CCU,DEL,4,15,3,10,0,Clear,30,17,1,7,High,High,43.15
Vistara,BOM,MAA,19,13,1,3,1,Thunderstorm,27,29,3,11,Medium,High,113.09
IndiGo,DEL,MAA,21,13,6,9,0,Fog,37,22,8,9,High,Low,86.37
Air India,BOM,GOI,17,0,0,10,1,Rain,27,10,5,3,Low,Low,51.49
Vistara,MAA,BOM,14,2,1,11,0,Fog,10,12,4,15,Low,Medium,33.28
SpiceJet,MAA,HYD,17,6,2,11,1,Clear,23,18,5,19,High,Low,35.11
IndiGo,BOM,DEL,1,14,1,6,1,Rain,17,28,6,5,Medium,Low,15.01
Air India,CCU,MAA,9,18,0,11,1,Fog,11,23,6,8,Low,Medium,84.5
GoAir,DEL,GOI,22,19,6,6,1,Clear,28,24,5,4,Medium,Low,0.59
Vistara,BOM,CCU,12,1,6,4,1,Rain,24,29,6,5,Medium,Medium,57.47
IndiGo,BOM,GOI,17,18,0,8,1,Rain,37,28,9,16,High,Medium,26.73
IndiGo,BOM,MAA,14,8,2,5,1,Clear,11,23,5,16,Low,High,52.37
SpiceJet,BLR,HYD,11,18,0,7,1,Rain,13,21,6,12,High,Low,45.46
SpiceJet,MAA,CCU,14,4,2,9,1,Clear,39,4,4,16,High,High,37.92
GoAir,GOI,BOM,12,17,2,5,1,Storm,10,2,3,13,High,Low,73.18
GoAir,CCU,DEL,17,15,0,11,0,Storm,28,18,6,1,High,High,71.14
Air India,HYD,BOM,14,3,4,5,1,Rain,30,22,5,18,Medium,Medium,41.12
Air India,GOI,BOM,22,11,6,4,1,Rain,19,12,4,2,Low,Medium,49.25
GoAir,CCU,GOI,10,6,2,6,0,Clear,10,4,5,1,Low,Medium,13.39
GoAir,HYD,DEL,18,13,0,2,1,Rain,29,11,7,1,Low,Medium,33.59
Vistara,BLR,DEL,2,22,4,3,1,Thunderstorm,31,13,1,6,Medium,Low,92.74
SpiceJet,BOM,MAA,6,11,6,1,0,Storm,24,5,1,3,Medium,Low,52.3
Air India,BLR,MAA,20,2,2,2,0,Rain,13,29,1,16,High,High,47.49
SpiceJet,BLR,DEL,13,4,6,2,1,Rain,16,21,2,5,High,Low,66.86
SpiceJet,GOI,CCU,13,16,4,8,0,Fog,39,8,9,6,High,Low,82.26
GoAir,DEL,BLR,21,9,6,8,1,Rain,16,16,5,19,High,High,43.0
Vistara,GOI,MAA,12,9,3,2,1,Thunderstorm,31,7,9,5,Low,Medium,94.23
IndiGo,MAA,BLR,11,10,5,6,1,Storm,34,25,5,8,High,High,89.15
Vistara,HYD,GOI,23,16,3,5,0,Fog,27,12,7,19,Medium,High,78.58
Vistara,BOM,CCU,8,4,4,3,1,Clear,22,28,6,3,Medium,Medium,36.77
SpiceJet,GOI,DEL,0,12,2,5,1,Clear,19,4,2,4,Medium,High,36.05
Vistara,HYD,CCU,18,9,0,5,0,Storm,33,28,3,18,High,High,52.39
Air India,CCU,MAA,10,8,1,5,1,Clear,17,21,5,9,Low,High,60.87
SpiceJet,HYD,BOM,22,16,0,3,1,Thunderstorm,36,21,4,17,Low,Low,90.14
Air India,CCU,GOI,21,0,6,3,1,Rain,19,16,6,14,High,Medium,54.41
IndiGo,GOI,DEL,22,3,1,4,1,Storm,23,2,8,0,High,Medium,93.59
SpiceJet,MAA,HYD,23,3,1,7,1,Fog,23,27,8,4,Medium,High,57.33
IndiGo,GOI,GOI,21,17,6,12,1,Rain,36,5,3,4,Medium,Low,42.54
SpiceJet,CCU,BLR,18,8,6,12,0,Clear,29,13,4,7,Low,Medium,23.52
GoAir,HYD,CCU,17,17,2,12,1,Clear,31,14,1,19,Medium,Medium,34.83
Vistara,HYD,DEL,11,13,4,2,1,Fog,20,13,2,14,Medium,High,104.83
GoAir,CCU,GOI,22,14,0,10,0,Thunderstorm,15,10,9,16,High,High,52.72
IndiGo,BLR,CCU,0,5,4,4,1,Fog,30,10,2,18,Low,High,110.46
Vistara,MAA,DEL,18,23,3,4,1,Storm,39,8,6,12,High,Medium,93.26
SpiceJet,DEL,MAA,19,9,2,1,0,Fog,10,5,7,9,Low,High,60.13
Vistara,BOM,GOI,16,14,2,10,0,Clear,28,14,6,16,High,High,34.46
Air India,HYD,MAA,4,3,3,8,0,Thunderstorm,16,11,8,4,Low,High,90.27
Vistara,BOM,GOI,2,17,0,1,0,Thunderstorm,33,28,9,17,Medium,Low,63.09
Air India,DEL,MAA,1,17,5,8,0,Fog,27,5,8,16,Low,High,58.13
Vistara,GOI,CCU,2,16,3,7,0,Storm,12,0,5,3,Low,Medium,47.59
Air India,BOM,HYD,7,11,0,9,0,Clear,29,24,8,6,High,High,57.47
IndiGo,DEL,GOI,15,6,1,8,1,Rain,39,15,9,4,Low,Medium,38.44
GoAir,CCU,GOI,5,15,6,5,1,Thunderstorm,20,19,8,7,Low,Low,68.04
SpiceJet,BLR,MAA,12,10,2,8,1,Fog,14,14,2,7,Low,Low,103.69
Vistara,HYD,DEL,22,13,0,11,0,Storm,28,1,2,10,High,High,109.36
GoAir,DEL,GOI,21,2,4,10,1,Storm,30,16,3,8,Low,Medium,98.53
SpiceJet,BOM,MAA,21,18,6,12,0,Clear,33,2,7,18,High,High,26.47
SpiceJet,HYD,BOM,15,17,4,12,1,Thunderstorm,33,2,9,18,Medium,High,129.09
Air India,BLR,MAA,15,9,6,3,1,Clear,39,4,8,8,High,Medium,82.61
IndiGo,CCU,CCU,2,5,2,10,1,Rain,11,16,9,19,Low,Medium,39.55
IndiGo,GOI,HYD,12,12,3,7,1,Rain,31,22,6,16,Medium,Medium,73.95
GoAir,HYD,BOM,13,9,5,12,0,Rain,13,28,1,15,Low,Medium,14.26
IndiGo,GOI,CCU,7,17,3,4,0,Storm,34,16,4,6,High,Medium,93.1
Vistara,DEL,CCU,11,19,0,5,1,Thunderstorm,19,19,6,2,Medium,Low,64.98
IndiGo,BLR,CCU,22,15,3,9,0,Clear,11,5,6,18,Medium,Low,51.37
GoAir,BOM,DEL,22,5,2,7,0,Clear,17,0,8,7,Medium,Low,38.46
IndiGo,BLR,CCU,21,12,0,4,1,Rain,10,6,1,4,Low,Medium,51.88
Vistara,BLR,DEL,20,3,1,6,0,Thunderstorm,36,25,2,5,Medium,Medium,44.18
Air India,MAA,CCU,7,22,3,10,0,Thunderstorm,15,14,2,1,Medium,Medium,91.22
GoAir,BLR,BLR,20,13,3,11,0,Fog,20,6,6,18,Medium,High,55.27
Air India,BLR,BOM,8,0,5,7,0,Thunderstorm,36,18,7,12,Medium,Low,64.37
Air India,HYD,BLR,0,19,0,10,1,Thunderstorm,39,19,2,5,High,Low,108.25
Air India,BOM,CCU,5,4,4,9,1,Clear,37,21,5,5,Low,High,62.86
